Input	Target	Prediction
What criteria should be used to group eligible picks for cartonization?	¿Qué criterio se debería usar para agrupar surtidos elegibles para el surtido de cartonización?	¿Qué criterio se debería usar para agrupar surtidos elegibles para el surtido de cartonización?
Completed Quantity	Cantidad Completada	Cantidad Completada
Assign inbound shipment to see recommended doors.	Asignar envío entrante para ver puertas recomendadas.	Asignar envío entrante para ver puertas recomendadas.
Lookup Component	Componente de Búsqueda	Componente de Búsqueda
Search Clause	Cláusula de Búsqueda	Cláusula de Búsqueda
"<b>Allowed Values:</b><br>Seconds: 0-59 and * / ,- <br>Minutes: 0-59 and * / , - <br>Hours: 0-23 and * / , - <br>Day of Month: 1-31 and * / , - ? L W C <br>Month: 1-12 or JAN-DEC and * / , - <br>Day of Week: 1-7 or SUN-SAT and * / , - ? L C # <br>Year (Optional): 1970-2099 and * / , - <br><br><b>Special Characters:</b><br>[*] - Expression will match all values <br>""* * * * * ? 2010"" - Execute every second in the year 2010 <br>[/] - Used to describe increments <br>""10/15 * * * * ?"" - Execute every 15 seconds starting at 10 seconds <br>[,] - Used to separate items in a list<br>""0 0 0 1,15 * ?"" - Execute every 1st and 15th of the month at midnight <br>[-] - Used to define a range <br>""0 0 0 ? * MON-WED"" - Execute at midnight Monday through Wednesday <br>[?] - Used to omit specification for day of week or month <br>""0 0 0 1 * ?"" - Execute at midnight on the first of the month regardless of day of week <br>[L] - Stands for ""last"" <br>""0 0 0 L * ?"" - Execute at midnight on the last day of the month <br>""0 0 0 ? * 6L"" - Execute at midnight on the last Friday of the month <br>[#] - Used to specify the occurrence of a day in a month <br>""0 0 0 ? * SUN#3"" - Execute on the third Sunday of the month at midnight <br>[W] - Denotes the nearest weekday <br>""0 0 0 15W * ?"" - Execute on the week"	"<b>Valores permitidos:</b><br>Segundos: 0-59 y * / ,- <br>Minutos: 0-59 y * / , - <br>Horas: 0-23 y * / , - <br>Día del mes: 1-31 y * / , - ? L W C <br>Mes: 1-12 o ENE-DIC y * / , - <br>Día de la semana: 1-7 o DOM-SÁB y * / , - ? L C # <br>Año (Opcional): 1970-2099 y * / , - <br><br><b>Caracteres especiales:</b><br>[*] - La expresión coincide con todos los valores <br>""* * * * * ? 2010"" - Ejecutar cada segundo en el año 2010 <br>[/] - Usado para describir incrementos <br>""10/15 * * * * ?"" - Ejecutar cada 15 segundo, iniciando a los 10 segundos <br>[,] - Usado para separar artículos en una lista<br>""0 0 0 1,15 * ?"" - Ejecutar el 1o y el 15 de cada mes a medianoche <br>[-] - Usado para definir un rango <br>""0 0 0 ? * LUN-MIÉ"" - Ejecutar a la medianoche del lunes al miércoles <br>[?] - Usado para omitir la especificación para el día de la semana o mes <br>""0 0 0 1 * ?"" - Ejecutar a la medianoche del primer día del mes, independientemente del día que sea <br>[L] - Significa ""último"" <br>""0 0 0 L * ?"" - Ejecutar a la medianoche del último día del mes <br>""0 0 0 ? * 6L"" - Ejecutar a la medianoche del último viernes del mes <br>[#] - Usado para especificar la repetición de un día en el mes <br>""0 0 0 ? * SUN#3"" - Ejecutar el tercer domingo del mes a medianoche <br>[W] - Denota el día"	"<b>Valores Permitidos:</b><br>Segundos: 0-59 y * / ,- <br>Minutos: 0 abr>Mes: 1-12 o JAN-DIC y * , - <dr>Día de la Semana: 1-7 o SUN-SAT y * * / - ? L C <r>Año (Opcional): 1970-2099 y * - , <tr><br><brb>Caracteres Especiales:<br><b>[*] - Expresión coincidirá con todos los valores <bra>* * * * ? 2010"" - Ejecutar cada segundo en el año 2010 <bri>[/] - Usado para describir incrementos <bre>""10/15 * **** * * - * ?"" Ejecutado cada 15 segundos comenzando en 10 segundos </br> - Usados en una lista de <bor> < 15 <-br> > Ejecutados para separar los <0 0 0 0 <""0"" - Usadas para Ejecutarlos cada mes < <pbr>""0 - Identificado en Ejecuta 0 0""0 0""""0 <litem - >""Ecuentos cada 15 minutos <Br>"""" - Utilizado en la medianoche Ejecuto para separar <(b>""b> = Ejecutada a Ejecutadas cada mes"" Ejecutable"" <w"" = 0"" > - =0 0 Ejecutas cada mes - #0""0 a <a Ejecutando el Ejecutación del Ejecutaciones del <cr>"" Identificados en el < 0""E""0] - Ítem Ejecutan el = ""0"" ?"" - Últimas de la medianoche del =""0 *0"""" Índice 0 0 a medianoche del mes Ejecuttadas a = 1 Ejecut"" # - ?""0 0 a Identificadas en la Semana Ejecut las Ejecuten el Identificada a # 0"" - 0 0 - Actual""0 7 Ejecutidad del # Ejecut Ejecutador del Identificar"" Último del Día Ejecutó el #1 Ejecutamiento del"
Should the system enforce the Allocation Search Path Group criteria for Replenishment Search Paths?	¿Debe el sistema forzar los criterios del Grupo de Ruta de Búsqueda de Asignación para las Rutas de Búsqueda de Reabasto?	¿Debe el sistema forzar los criterios del Grupo de Ruta de Búsqueda de Asignación para las Rutas de Búsqueda para Reabasto?
Maximum Catch Qty	Cantidad de Captura Máxima	Cantidad Variable Máxima
completed with errors.	completeado con errores.	completeado con errores.
Add New Exception	Agregar Nueva Excepción	Agregar Nueva Excepción
Adj Quantity	Cantidad de Ajs	Cantidad de Ajs
Configure the movement of cross docked inventory between zones.	Configure el movimiento de inventario en cruce de andén entre zonas.	Configure el movimiento de inventario en cruce de andén entre zonas.
Disassembly Quantity	Cantidad de Desarmado	Cantidad de Desarmado
Activity Codes	Códigos de Actividad	Códigos de Actividad
Cancel codes available to voice users	Códigos de cancelación disponibles para usuarios de voz.	Códigos de cancelación disponibles para usuarios de voz.
Configuration/Items/Item Classes	Configuración/Artículos/Clases de Artículo	Configuración/Artículos/Clases de Artículo
TMS Load	Carga TMS	Carga TMS
Add New Payment Terms	Agregar Nuevos Términos de Pago	Agregar Nuevos Términos de Pago
Configuration/Workflows/RF Operator	Configuración/Flujos de Trabajo/Operador RF	Configuración/Flujos de Trabajo/Operador RF
Consignment Flag	Bandera de Consignación	Bandera de Consignación
Consigned Flag	Bandera de Consignado	Bandera de Consignado
Comments:	Comentarios:	Comentarios:
LPN Attribute 5	Atributo 5 de LPN	Atributo 5 de LPN
Add Grid	Agregar Cuadrícula	Agregar Cuadrícula
Staging Lane	Carril de Stage	Carril de Stage
Ordered Quantity	Cantidad Pedida	Cantidad Pedida
Activity Category	Categoría de Actividad	Categoría de Actividad
Remainder Quantity	Cantidad Remanente	Remanente de Cantidad
Threshold %<br>for overshipment	% de umbral<br>para sobreenvío	% de umbral<br>para sobreenvío
Close Return Confirmation	Cerrar Confirmación de Devolución	Cerrar Confirmación de Devolución
Batch Status	Estado de Lote	Estado del Lote
Do you want to delete dynamic slot plans after execution? (Recommend Yes for performance)	¿Desea eliminar los planes de slotting dinámico después de la ejecución? (Se recomienda Sí para el rendimiento)	¿Desea eliminar los planes de slotting dinámico después de la ejecución? (Se recomienda Sí para el rendimiento)
Production Area	Área de Producción	Área de Producción
Add a New Pre-Validation Scheme	Agregar un Nuevo Esquema de Validación Previa	Agregar un Nuevo Esquema de Validación Previa
Update Damage quantity for {0}	Actualizar cantidad Dañada para {0}	Actualizar cantidad Dañada para {0}
What is the threshold percentage for pallet over shipping?	¿Cuál es el porcentaje de umbral para el sobreenvío de pallets?	¿Cuál es el porcentaje de umbral para el sobreenvío de pallets?
Not Expected Quantity	Cantidad No Esaperada	Cantidad No Esaperada
Cancel Code	Código de Cancelación	Código de Cancelación
Table Comment	Comentario de Tabla	Comentario de Tabla
Configure the conditions under which cancellation is allowed and the codes used to trigger additional activities including attempts at reallocation.	Configurar las condiciones bajo las cuales se permite la cancelación y los códigos a usar para desencadenar actividades adicionales, incluyendo tentativas de reasignación.	Configurar las condiciones bajo las cuales se permite la cancelación y los códigos utilizados para desencadenar actividades adicionales, incluyendo intentos de reasignación.
Add New Search Path	Agregar Nueva Ruta de Búsqueda	Agregar Nueva Ruta de Búsqueda
Configuration/Items/Item Families	Configuración/Artículos/Familias de Artículos	Configuración/Artículos/Familias de Artículos
Configuration/Voice Picking	Configuración/Surtido por Voz	Configuración/Surtido por Voz
Add New Item Style Attribute	Agregar Nuevo Atributo de Estilo de Artículo	Agregar Nuevo Atributo de Estilo de Artículo
Items That Generate Demand Replenishments	Artículos que Generan Reabastos de Demanda	Artículos que Generan Reabastos de Demanda
Column not available for selection: {column}	Columna no disponible para selección: {columna}	Columna no disponible para selección: {columna}
Does this customer type require that future shipments of an item are fresher than the last shipment of that item?	¿Este tipo de comprador requiere que los envíos futuros de un artículo sean más frescos que el último envío de ese artículo?	¿Este tipo de comprador requiere que los envíos futuros de un artículo sean más frescos que el último envío de ese artículo?
Should the system retain the order lines for incomplete(short) orders?	¿Debería el sistema retener las líneas de orden para las órdenes incompletas(con cortos)?	¿Debería el sistema retener las líneas de orden para las órdenes incompletas(con cortos)?
Invalid category/operator/value combination	Combinación inválida de categoría/operador/valor	Combinación inválida de categoría/operador/valor
Additional Configuration	Configuración Adicional	Configuración Adicional
"<table width=""100%""><tbody><tr><td>Work Order</td><td>({0})</td></tr><tr><td>Work Order Line</td><td>({1})</td></tr></tbody></table>"	"<table width=""100%""><tbody><tr><td>Orden de Trabajo</td><td>({0})</td></tr><tr><td>Línea de Oedido de Trabajo</td><td>({1})</td></tr></tbody></table>"	"<table width=""100%""><tbody><tr><td>Orden de Trabajo</td><tdo>({0})</tr><tr>#tdLínea de Oedido de Trabajo/t d><tda({1})/tr>#/tboy></table>"
Every minute	Cada minuto	Cada minuto
Maximum Capacity	Capacidad Máxima	Capacidad Máxima
Are you sure you want to print labels for the selected package(s)?	¿Está seguro de que desea imprimir etiquetas para el(los) paquete(s) seleccionado(s)?	¿Está seguro de que desea imprimir etiquetas para el(los) paquete(s) seleccionado(s).
Will you be using RF returns arrival process?	¿Va usted a usar el proceso de llegada de devoluciones por RF?	¿Va a usar el proceso de llegada de devoluciones por RF?
Group Replenishments By	Agrupar Reabastecimientos Por	Agrupar Reabastos Por
Address Lookup	Búsqueda de Direcciones	Búsqueda de Direcciones
WORK MANAGEMENT	GESTIÓN DE TRABAJO	GESTIÓN DE TRABAJO
COD Payment Terms	Términos de Pago COD	Condiciones de Pago COD
Order Line Lookup	Búsqueda de Línea de Orden	Búsqueda de Línea de Orden
Should the production line allow only one started work order at a time?	¿Debe la línea de producción permitir solo una orden de trabajo iniciada a la vez?	¿Debe la línea de producción permitir solo una orden de trabajo iniciada a la vez?
Should the system force all items into a single carton?	¿Debe el sistema forzar que todos los artículos se coloquen en un solo cartón?	¿Debe el sistema forzar todos los artículos a una caja única?
Is the operator required to confirm the quantity picked up from the source location?	¿Se requiere que el operador confirme la cantidad del surtido de la ubicación de origen?	¿Se requiere que el operador confirme la cantidad del surtido de la ubicación de origen?
Department Code	Código de Departamento	Código de Departamento
Closing Transport Equipment	Cerrando Equipo de Transporte	Cerrando Equipo de Transporte
Configuration/Receiving Identification	Configuración/Identificación de Recepción	Configuración/Identificación de Recepción
Add New Allocation Profile Detail	Agregar Nuevo Detalle de Perfil de Asignación	Agregar Nuevo Detalle de Perfil de Asignación
{0} was picked on {1} at {2} by {3} to fulfill order {4}.	{0} fue surtido el {1} a la(s) {2} por {3} para completar la orden {4}.	{0} fue surtido el {1} a la(s) {2} por {3} para completar la orden {4}.
Will this cancel code be available to RF operators?	¿Estará disponible este código de cancelación para los operadores de RF?	¿Estará disponible este código de cancelación para los operadores de RF?
Configuration/Picking/Settings	Configuración/Surtido/Configuraciones	Configuración/Surtido/Configuraciones
Add Label Strategy	Agregar Estrategia de Etiqueta	Agregar Estrategia de Etiqueta
Assign Incomplete Work at Sign Off	Asignar Trabajo Incompleto al Firmar	Asignar Trabajo Incompleto al Cerrar Sesión
Items Using Count Near Zero	Artículos que Usan Conteo Cercano a Cero	Artículos que Usan Conteo Cercano a Cero
Add a reason	Agregar una razón	Agregar una razón
Top Off Replenishment Work Groupings	Agrupaciones de Trabajos de Reabasto Top Off	Agrupaciones de Trabajos de Reabasto Top Off
Require a reason for the adjustment?	¿Requerir una razón para el ajuste?	¿Requerir una razón para el ajuste?
Inventory Attribute Text 5	Atributo de Inventario - Texto 5	Texto de atributo de inventario 5
Cancelling Shipment Lines...	Cancelando Líneas de Envío...	Cancelando Líneas de Envío...
Allow counts to be sent manually?	¿Permitir que los conteos se envíen manualmente?	¿Permitir que los conteos se envíen manualmente?
Lock User	Bloquear Usuario	Bloquear Usuario
Distribution Candidate	Candidato a Distribución	Candidato de Distribución
Add {0}	Agregar {0}	Agregar {0}
WIP Supply Item	Artículo de Suministro WIP	Artículo de Suministro WIP
Searching for Locations	Buscando Ubicaciones	Buscando Ubicaciones
Commodity Code	Código de Mercancía	Código de Mercancía
Duty Stamp Tracked	Sello de Impuesto de Consumo Rastreado	Sello de Aranceles con Seguimiento
Stage Shipment	Acopio de Envío	Stage de Envío
Do you want to enable the integration of Connect?	¿Quieres habilitar la integración de Connect?	¿Desea activar la integración de Connect?
Unique code that defines an allocation search path group. If the value you specify matches what appears in the ord_line table, then it is used to find the allocation search path group. Values for this column are defined in the alc_search_path column in Code Maintenance.	Código único que define un grupo de ruta de búsqueda de asignación. Si el valor que especifica coincide con lo que aparece en la tabla ord_line, entonces se utiliza para encontrar el grupo de ruta de búsqueda de asignación. Los valores para esta columna se definen en la columna alc_search_path en el Mantenimiento de Códigos.	Código único que define un grupo de ruta de búsqueda de asignación. Si el valor que especifica coincide con lo que aparece en la tabla ord_line, entonces se utiliza para encontrar el grupo de rutas de búsqueda para la asignación. Los valores para esta columna se definen en la columna alc_search_path en el Mantenimiento de Códigos.
<div><p>Unique identifier for this site. Warehouse Management uses this warehouse name to associate specific information with this warehouse, such as inbound orders and outbound loads. The name can represent, for example, the location of the warehouse by including the initials of the city or country in which it is located. If there are multiple warehouses, you could also include a number in the name. Use numbers, letters, and underscores; no spaces or special characters are allowed. To ensure that the entire name can be viewed on RF screens, use a maximum of 8 characters.</p><p></p></div>	<div><p>Identificador único para este sitio. La Gestión de Almacenes utiliza este nombre de almacén para asociar información específica con este almacén, como órdenes de entrada y cargas de salida. El nombre puede representar, por ejemplo, la ubicación del almacén incluyendo las iniciales de la ciudad o el país en el que se encuentra. Si hay múltiples almacenes, también puedes incluir un número en el nombre. Usa números, letras y guiones bajos; no se permiten espacios ni caracteres especiales. Para garantizar que el nombre completo pueda visualizarse en las pantallas de RF, utiliza un máximo de 8 caracteres.</p><p></p></div>	<div><p>Identificador único para este sitio. Warehouse Management usa este nombre de almacén para asociar información específica con este almacén, como órdenes entrantes y cargas salientes. El nombre puede representar, por ejemplo, la ubicación del almacén incluyendo las iniciales de la ciudad o el país en el que está ubicado. Si hay múltiples almacenes, usted podría también incluir un número en el nombre. Use números, letras y guiones bajos; no se permiten espacios ni caracteres especiales. Para garantizar que el nombre completo se pueda ver en las pantallas de RF, utilice un máximo de 8 caracteres.</p><p></p>#/div>
Adj Quantity	Cantidad de Ajs	Cantidad de Ajs
Permission Category	Categoría de Permisos	Categoría de Permisos
Should this pick zone allow identical picks in a list to be combined into a single pick?	¿Debería esta zona de surtido permitir surtidos idénticos en una lista que se va a combinar en un surtido único?	¿Debería esta zona de surtido permitir surtidos idénticos en una lista que se va a combinar en un surtido único?
Broker Customer	Comprador Intermediario	Comprador Intermediario
Pick Catch Quantity	Cantidad Variable de Surtido	Cantidad Variable de Surtido
Invalid payment code.	Código de pago no válido.	Código de pago no válido.
Unassigned {user} from {assignment} Successfully	Anulación de la asignación de {user} a {assignment} se completó correctamente	{user} de {assignment} se anuló correctamente
Identified Quantity	Cantidad Identificada	Cantidad Identificada
PARS Number Configuration	Configuración de Número de PARS	Configuración de Número de PARS
Source Currency Code	Código de Divisa de Origen	Código de Divisa de Origen
Should this zone allow overpicking of the replenishment quantity?	¿Debe esta zona permitir el sobresurtido de la cantidad de reabasto?	¿Debería esta zona permitir el sobresurtido de la cantidad de reabasto?
Scanned Catch Quantity	Cantidad Variable Escaneada	Cantidad Variable Escaneada
Putaway Areas	Áreas de Almacenamiento	Áreas de Almacenamiento
Ignore conflicted locations?	¿Ignorar ubicaciones con conflictos?	¿Ignorar ubicaciones con conflictos?
Capacity Code	Código de Capacidad	Código de Capacidad
Do work assignments start when they are acknowledged?	¿Las listas de surtido comienzan cuando se reconocen?	¿Las listas de surtido comienzan cuando se reconocen?
Ship from Customer	Comprador de Envío	Comprador de Origen de Envío
Add Inbound Order	Agregar Orden Entrante	Agregar Orden Entrante
NLS_TERRITORY Setting	Configuración de NLS_TERRITORY	Configuración de NLS_TERRITORY
2 Weeks	2 Semanas	2 Semanas
Received Quantity	Cantidad Recibida	Cantidad Recibida
Assign Inbound Shipment to Appointment	Asignar Envío Entrante a Cita	Asignar Envío Entrante a Cita
Source Command	Comando de Origen	Comando de Origen
Configuration/Items/User Defined Inventory Attributes (UDIA)	Configuración/Artículos/Atributos de Inventario Definidos por el Usuario	Configuración/Artículos/Atributos de Inventario Definidos por el Usuario
Should the system choose randomly between three defined check digits (rather than one) when prompting the operator to confirm a pick or deposit location during picking operations?	¿Debe el sistema elegir aleatoriamente entre tres dígitos de verificación definidos (en lugar de uno) al solicitar al operador que confirme una ubicación de surtido o depósito durante las operaciones de surtido?	¿Debe el sistema elegir de forma aleatoria entre tres dígitos de verificación definidos (en lugar de uno) cuando solicite al operador confirmar una ubicación de surtido o depósito durante las operaciones de surtido?
Should the system attempt to store the product to the location where the same item was most recently stored?	¿Debería el sistema intentar almacenar el producto en la ubicación donde el mismo artículo fue más recientemente almacenado?	¿Debería el sistema intentar almacenar el producto en la ubicación donde el mismo artículo fue más recientemente almacenado?
LPN Activities	Actividades de LPN	Actividades de LPN
Refresh Timer	Temporizador de Actualización	Actualizar Temporizador
Existing Customers	Compradores Existentes	Compradores Existentes
Current Item	Ítem Actual	Artículo Actual
Do you want to define movement hop zones that should be skipped after packing is complete based on the carton type being processed?	¿Quieres definir zonas de saltos de movimiento que deben ser omitidas una vez que el empaque esté completo, según el tipo de cartón que se esté procesando?	¿Desea definir zonas de saltos de movimiento que deben ser omitidas una vez que el empaque esté completo, según el tipo de cartón que se esté procesando?
Are you sure you want to unassign shipments from the stop?	¿Estás seguro de querer desasignar los envíos de la parada?	¿Estás seguro de querer desasignar los envíos de la parada?
Time Code	Código de Tiempo	Código de Hora
Cancel counts successful	Cancelación de conteos exitosa	Conteos cancelados con éxito
Would you like to pre-manifest shipments prior to picking?	¿Le gustaría pre-manifestar los envíos antes del surtido?	¿Le gustaría pre-manifestar los envíos antes del surtido?
Should the operator be prompted for the destination LPN when doing the pickup?	¿Debe solicitarse al operador el LPN de destino al realizar el recogido?	¿Debe solicitarse al operador el LPN de destino al realizar el recogido?
Parent-Child Grid Configuration	Configuración de Cuadrícula Principal-Secundaria	Configuración de Cuadrícula Principal-Secundaria
Work Order Line Lookup	Búsqueda de Línea de Orden de Trabajo	Búsqueda de Línea de Orden de Trabajo
Error Code	Código de Error	Código de Error
Check Out	Check Out	Check Out
For work assignment picking, do you wish to allow multiple container to open at once?	¿Para el surtido de listas de surtido, desea permitir que varios contenedores se abran al mismo tiempo?	¿Para el surtido de listas de surtido, desea permitir que varios contenedores se abran al mismo tiempo?
Add Time and Priority	Agregar Tiempo y Prioridad	Agregar Tiempo y Prioridad
Should the system search for a partially full location with mixed inventory before searching for an empty location?	¿Debería el sistema buscar una ubicación parcialmente completa con inventario combinado antes de buscar una ubicación vacía?	¿Debería el sistema buscar una ubicación parcialmente completa con inventario combinado antes de buscar una ubicaciones vacías?
Add New Customs Order Type	Agregar Nuevo Tipo de Orden de Aduanas	Agregar Nuevo Tipo de Orden de Aduanas
Allocate By Catch Quantity	Asignar por Cantidad Variable	Asignar por Cantidad Variable
Receipt Confirmation at Inbound Shipment Level	Confirmación de Recibo a Nivel de Envío Entrante	Confirmación de Recibo a Nivel de Envío Entrante
Are you sure you want to delete this Adjustment?	¿Está seguro de que desea eliminar este ajuste?	¿Está seguro de que desea eliminar este ajuste?
Inventory Attribute Text 16	Texto de Atributo de Inventario 16	Atributo de Inventario - Texto 16
CASE SORTING	CLASIFICACIÓN DE CAJAS	CLASIFICACIÓN DE CAJAS
Assign Movement Zone Locations	Asignar Ubicaciones a la Zona de Movimiento	Asignar Ubicaciones a la Zona de Movimiento
Set up the conditions for the product when it is returned.	Configurar las condiciones para el producto cuando es devuelto.	Configurar las condiciones para el producto cuando se devuelva.
<p>If <b>Yes</b>, then the item can be used for opportunistic cross docking.</p> <p>Opportunistic cross docking occurs when inventory is received and moved directly to ship staging (or other cross dock location) to satisfy a short order line. </p><p>If <b>No</b>, then the system prevents opportunistic cross docking of the item to fulfill short order lines.</p> <p><b>Note</b>: This field does not affect planned cross docking (when the order line is marked for cross docking) or pick replacement.</p>	<p>Si <b>Sí</b>, el artículo se puede usar para cruce de andén oportunista.</p> <p>El cruce de andén oportunista ocurre cuando el inventario se recibe y se mueve directamente a stage de envío (o a otra ubicación de cruce de andén) para satisfacer una línea de orden con corto. </p><p>If <b>No</b>, el sistema impide el cruce de andén oportunista de un artículo para rellenar líneas de orden con corto.</p> <p><b>Nota</b>: Este campo no afecta el cruce de andén planificado (cuando se ha marcado la línea de orden para cruce de andén) o para el reemplazo de surtido</p>	<p>Si <b>Sí</b>, el artículo se puede usar para cruce de andén oportunista.</p> <P>El cruce de cross docking oportunista ocurre cuando el inventario se recibe y se mueve directamente a la zona de stage de envío (o a otra ubicación de cruce de Andén) para satisfacer una línea de orden con corto. </P><p>If < b>No</c>, entonces el sistema impide el cruce de carril oportunista de un artículo para cumplir con líneas de orden de corto.<(p><p><b>Nota</ b>: Este campo no afecta el cruces de anden planificados (cuando se marca la línea de Orden para cruces en andén) o para el reemplazo de surtidos</ p>
Items with unfulfilled demand	Artículos con demanda no cumplida	Artículos con demanda no cumplida
Load previous {qty} records...	Cargar {qty} registros anteriores...	Cargar {qty} registros anteriores...
Does this customer type belong to an absolute group?	¿Este tipo de comprador pertenece a un grupo absoluto?	¿Este tipo de comprador pertenece a un grupo absoluto?
Would you like to cartonize picks for items that allow it?	¿Le gustaría cartonizar los surtidos para los artículos que lo permitan?	¿Le gustaría cartonizar los surtidos para los artículos que lo permitan?
Are you sure you want to select shipping carton as a pallet type carton? Once selected this cannot be changed. Please confirm.	¿Está seguro de que desea seleccionar el cartón de envío como cartón de tipo pallet? Una vez seleccionado ya no se podrá cambiar. ¿Desea confirmar?	¿Está seguro de que desea seleccionar el cartón de envío como cartón de tipo pallet? Una vez seleccionado ya no se podrá cambiar. ¿Desea confirmar?
Zone Movement Associations	Asociaciones de Movimiento de Zona	Asociaciones de Zona de Movimiento
Should the labels be printed for inventory that is removed from a shipment?	¿Deberían imprimirse etiquetas para el inventario que se quita de un envío?	¿Deberían imprimirse etiquetas para el inventario que se quita de un envío?
Configure client specific overrides for the prevention of packing until inventory arrival configurations.	Configurar Sustituir específicas del cliente para la prevención del empaque hasta las configuraciones de la llegada del inventario.	Configurar Sustituir específicas del cliente para la prevención del empaque hasta las configuraciones de la llegada del inventario.
Should this location be considered during Billing Storage calculations?	¿Debe esta ubicación ser considerada durante los Cálculos de Amacenamiento para facturación?	¿Debería considerarse esta ubicación durante los cálculos de Facturación de Almacenamiento?
Add Shipment Status Change Electronic Delivery to Host	Agregar Estado de Envío a Cambiar Entrega Electrónica a Host	Agregar Estado de Envío a Cambiar Entrega Electrónica a Host
Sub-LPN Tag Encoding	Codificación de Etiqueta de Sub-LPN	Codificación de etiqueta Sub-LPN
Should this zone be used for pre-inventory allocation?	¿Debe esta zona usarse para la asignación previa de inventario?	¿Debe esta zona usarse para la asignación previa de inventario?
Return Fields	Campos de Devolución	Campos de Devolución
Media files	Archivos de media	Archivos de media
Duty Country Code	Código de País de Impuestos	Código de País con Aranceles
Staging Area	Área de Stage	Área de Stage
Order Quantity	Cantidad de Orden	Cantidad de Orden
Work-in-Process Area	Área de Trabajo en Proceso	Área de Trabajo en Proceso
How do you want the system to prompt the user to confirm this form?	¿Cómo desea que el sistema solicite al usuario confirmar este formulario?	¿Cómo desea que el sistema solicite al usuario confirmar este formulario?
Add transport equipment move from {0} to {1}?	¿Agregar movimiento de equipo de transporte de {0} a {1}?	¿Agregar el movimiento de equipo de transporte de {0} a {1}?
Lot Parsing	Análisis de Lote	Análisis de Lote
Lot Parsing	Análisis de Lotes	Análisis de Lote
Should the system determine picks that are to be packed together in cartons for a shipment and the size of the cartons to be used?	¿Debe el sistema determinar qué surtidos deben ser empacados juntos en cartones para un envío y el tamaño de los cartones a utilizar?	¿Debe el sistema determinar qué surtidos deben ser empacados juntos en cartones para un envío y el tamaño de los cartones a utilizar?
Sign Off During Work Assignment	Cerrar Sesión Durante la Lista de Surtido	Cerrar Sesión Durante la Lista de Surtido
Invalid CRUD Actions configured for custom grid page [{0}]	Acciones CRUD inválidas configuradas para la página de cuadrícula personalizada [{0}]	Acciones CRUD inválidas configuradas para la página de cuadrícula personalizada [{0}]
Do you want to override rotation verification? The default is to verify the rotation ID when the item is rotation controlled for bonded inventory.	¿Desea sobreescribir la verificación de la rotación? El valor predeterminado es que se verifique el ID de rotación cuando el artículo es controlado por rotación para inventario depositado.	¿Desea sobreescribir la verificación de la rotación? El valor predeterminado es que se verifique el ID de rotación cuando el artículo es controlado por rotación para inventario en depósito.
Staging Lanes	Carriles de Stage	Carriles de Stage
Cancelled Quantity	Cantidad Cancelada	Cantidad Cancelada
{0}/Hour	{0}/Hora	{0}/Hora
Error Command for Default	Error en el Comando para Predeterminado.	Comando de Error para Predeterminado
Loading Serial Numbers	Cargando Números de Serie	Cargando Números de Serie
Configuration/Customer Types	Configuración/Tipos de Comprador	Configuración/Tipos de Comprador
What is the minimum number of count days that will be in a count period?	¿Cuál es el número mínimo de días de conteo que habrá en un período de conteo?	¿Cuál es el número mínimo de días de conteo que habrá en un período de contada?
{0}<br1}.<br><br>	{0}<br1}.<br><br>	{0}<br1}.<br><br>
Assign User (Optional)	Asignar Usuario (Opcional)	Asignar Usuario (Opcional)
Order Change Code	Código de Cambio de Orden	Código de Cambio de Orden
Cancel Codes	Códigos de Cancelación	Códigos de Cancelación
Allocation Failed	Asignación Fallida	Asignación Fallida
Production Lanes	Carriles de Producción	Carriles de Producción
Punch In/Out	Fichar Entrada/Salida	Fichar Entrada/Salida
Assign Role	Asignar Rol	Asignar Rol
Production Areas	Áreas de Producción	Áreas de Producción
Bundle and Manifest	Agrupar y Manifestar	Agrupar y Manifestar
Audit pending at location: {0}	Auditoría pendiente en la ubicación: {0}	Auditoría pendiente en la ubicación: {0}
Add a New Delivery Note Number Configuration	Agregar una Nueva Configuración de Número de Nota de Entrega	Agregar una Nueva Configuración de Número de Nota de Entrega
Demand Replenishment Work Groupings	Agrupaciones de Trabajo de Reabasto de Demanda	Agrupaciones de Trabajo de Reabasto de Demanda
Location Lock Code	Código de Bloqueo de Ubicación	Código de Bloqueo de Ubicación
Data Protection Settings	Configuraciones de Protección de Datos	Configuraciones de Protección de Datos
Configuration/Customers	Configuración/Compradores	Configuración/Compradores
PARS Number Configuration	Configuración de Número de PARS	Configuración de Número de PARS
Do you want WLM to provide pick goal time estimates for order lines?	¿Quieres que WLM proporcione estimaciones de tiempo objetivo de surtido para las líneas de orden?	¿Quieres que WLM proporcione estimaciones de tiempo objetivo de surtido para las líneas de orden?
Are you sure you want to select shipping carton as a pallet type carton? Once selected this cannot be changed. Please confirm.	¿Está seguro de que desea seleccionar el cartón de envío como cartón de tipo pallet? Una vez seleccionado ya no se podrá cambiar. ¿Desea confirmar?	¿Está seguro de que desea seleccionar el cartón de envío como cartón de tipo pallet? Una vez seleccionado ya no se podrá cambiar. ¿Desea confirmar?
To Location:	A Ubicación:	A Ubicación:
Handling Unit Category	Categoría de Unidad de Manejo	Categoría de Unidad de Manejo
Assign Inbound Shipment	Asignar Envío Entrante	Asignar Envío Entrante
Sort By	Clasificar por	Clasificar Por
